Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_control_1,1748944383238719,0.0384942,901.5,20.7485,170,177,186,212
1,0603_hek_control_1,1748944383246518,0.0157005,774,20.9523,170,178,186,202
1,0603_hek_control_1,1748944383249729,0.0404039,1027.5,21.4709,170,177,186,215
1,0603_hek_control_1,1748944383250517,0.0566397,721,19.8872,170,178,186,207
1,0603_hek_control_1,1748944383251713,0.0351757,753.5,19.7864,170,178,188,210
1,0603_hek_control_1,1748944383258524,0.0416367,788,20.5791,170,178,189,211
1,0603_hek_control_1,1748944383259327,0.0320738,999.5,22.5721,171,179,188,215
1,0603_hek_control_1,1748944383265172,0.0388327,790,20.7726,170,177,186,205
1,0603_hek_control_1,1748944383272331,0.0496778,722,20.8447,172,179,188,205
1,0603_hek_control_1,1748944383273387,0.0347431,792,21.1896,169,177,186,207
1,0603_hek_control_1,1748944383276515,0.0450351,746,19.0788,170,178,186,205
1,0603_hek_control_1,1748944383284319,0.0334154,806.5,21.6679,171,179,188,210
1,0603_hek_control_1,1748944383292521,0.0388846,707.5,19.532,170,178,186,213
1,0603_hek_control_1,1748944383294920,0.0351587,755,20.5791,171,178,187,214
1,0603_hek_control_1,1748944383295721,0.0227758,728,17.6494,171,177,182,197
1,0603_hek_control_1,1748944383309518,0.0258538,711.5,20.8926,172,178,186,209
1,0603_hek_control_1,1748944383321595,0.0320619,699,20.6277,172,178,188,209
1,0603_hek_control_1,1748944383335517,0.0399475,694.5,21.1069,170,178,187,207
1,0603_hek_control_1,1748944383337326,0.0376693,829.5,20.9881,171,178,186,201
1,0603_hek_control_1,1748944383358321,0.0503238,800.5,18.1659,171,177,183,197
1,0603_hek_control_1,1748944383363646,0.0660118,710.5,20.0749,170,178,186,213
1,0603_hek_control_1,1748944383370532,0.0353312,832.5,21.0476,170,179,187,207
1,0603_hek_control_1,1748944383379573,0.0348186,602,19.9625,170,177,186,213
1,0603_hek_control_1,1748944383383715,0.0181464,843,19.4294,170,174,183,205
1,0603_hek_control_1,1748944383392315,0.0618694,710,20.2855,170,178,185,207
1,0603_hek_control_1,1748944383392722,0.0371483,901,18.0555,170,176,183,196
1,0603_hek_control_1,1748944383393664,0.0206626,600,19.7611,171,178,186,202
1,0603_hek_control_1,1748944383394759,0.0459345,723.5,21.1542,170,178,188,207
1,0603_hek_control_1,1748944383399514,0.0427926,696,19.8368,170,178,186,203
1,0603_hek_control_1,1748944383402713,0.0480054,653.5,18.9209,170,178,186,202
1,0603_hek_control_1,1748944383404922,0.0216423,911.5,21.8975,170,177,186,205
1,0603_hek_control_1,1748944383413323,0.0313603,803,21.0357,170,178,188,205
