Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951292175799,0.0413242,659,18.3439,168,174,181,203
1,0603_hek_10uM_1h_1940_1,1748951292184612,0.079069,953,22.2149,168,176,186,213
1,0603_hek_10uM_1h_1940_1,1748951292186396,0.0531516,646,19.9374,169,177,182,206
1,0603_hek_10uM_1h_1940_1,1748951292186995,0.0823935,373,15.3134,166,170,177,202
1,0603_hek_10uM_1h_1940_1,1748951292189799,0.0801525,736,20.0624,168,175,183,205
1,0603_hek_10uM_1h_1940_1,1748951292193403,0.126109,1041.5,23.2271,168,177,186,210
1,0603_hek_10uM_1h_1940_1,1748951292208602,0.0694079,410,17.3494,166,173,180,201
1,0603_hek_10uM_1h_1940_1,1748951292212809,0.0570998,1014.5,22.5278,168,177,188,213
1,0603_hek_10uM_1h_1940_1,1748951292218003,0.071711,923,21.3542,168,174,183,213
1,0603_hek_10uM_1h_1940_1,1748951292218404,0.170373,973,23.2702,168,174,186,227
1,0603_hek_10uM_1h_1940_1,1748951292220399,0.0670647,698,18.9077,167,174,184,201
1,0603_hek_10uM_1h_1940_1,1748951292222196,0.0549607,646,19.5832,168,176,186,211
1,0603_hek_10uM_1h_1940_1,1748951292223998,0.0569648,722,21.166,169,178,187,210
1,0603_hek_10uM_1h_1940_1,1748951292230405,0.0714265,683.5,18.9605,168,176,186,210
1,0603_hek_10uM_1h_1940_1,1748951292231405,0.0929449,901.5,23.4414,168,173,185,219
1,0603_hek_10uM_1h_1940_1,1748951292237398,0.0141239,554,18.3439,169,176,183,202
1,0603_hek_10uM_1h_1940_1,1748951292241013,0.0491048,785,20.6882,166,174,183,212
1,0603_hek_10uM_1h_1940_1,1748951292246000,0.0379195,633.5,19,168,175,183,204
1,0603_hek_10uM_1h_1940_1,1748951292253198,0.0483309,804.5,20.8447,169,176,182,211
1,0603_hek_10uM_1h_1940_1,1748951292254820,0.173713,1044,24.2384,169,177,186,218
1,0603_hek_10uM_1h_1940_1,1748951292258006,0.11527,900.5,22.1133,166,174,185,211
1,0603_hek_10uM_1h_1940_1,1748951292260398,0.0494473,838,21.0238,169,176,184,203
1,0603_hek_10uM_1h_1940_1,1748951292265799,0.0753077,590.5,18.6815,168,174,181,203
1,0603_hek_10uM_1h_1940_1,1748951292267402,0.0493405,716,20.3101,168,177,186,204
1,0603_hek_10uM_1h_1940_1,1748951292291004,0.0539831,672.5,17.0734,168,175,184,202
1,0603_hek_10uM_1h_1940_1,1748951292295962,0.0527064,773,21.1542,168,174,181,205
1,0603_hek_10uM_1h_1940_1,1748951292296159,0.053986,749,21.4593,169,177,185,210
1,0603_hek_10uM_1h_1940_1,1748951292306603,0.0432926,386.5,15.5724,166,170,177,199
1,0603_hek_10uM_1h_1940_1,1748951292307270,0.13306,621.5,20.1246,169,176,182,212
1,0603_hek_10uM_1h_1940_1,1748951292309280,0.0324652,747.5,18.4391,168,174,179,195
1,0603_hek_10uM_1h_1940_1,1748951292313402,0.0503998,887.5,21.1424,169,177,184,208
1,0603_hek_10uM_1h_1940_1,1748951292313795,0.0480332,557,17.4786,166,172,178,202
1,0603_hek_10uM_1h_1940_1,1748951292315798,0.0741898,988,22.8473,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951292326604,0.0426028,659.5,19.7611,168,174,181,201
1,0603_hek_10uM_1h_1940_1,1748951292333198,0.0787008,779,21.319,168,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292334998,0.0534243,870.5,22.3047,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951292335214,0.0807569,907.5,21.5523,167,172,181,206
1,0603_hek_10uM_1h_1940_1,1748951292336603,0.182532,937,24.0832,168,177,186,216
1,0603_hek_10uM_1h_1940_1,1748951292337203,0.0882993,840.5,19.4679,168,174,182,204
1,0603_hek_10uM_1h_1940_1,1748951292339805,0.0287146,748,20.5426,168,174,185,212
1,0603_hek_10uM_1h_1940_1,1748951292347403,0.0719715,829,20.6155,169,176,186,206
1,0603_hek_10uM_1h_1940_1,1748951292350223,0.0476426,666.5,20.4083,169,177,186,224
1,0603_hek_10uM_1h_1940_1,1748951292350604,0.0867166,663,19.9499,166,174,185,210
1,0603_hek_10uM_1h_1940_1,1748951292357797,0.0569232,353.5,16.4773,168,174,180,207
1,0603_hek_10uM_1h_1940_1,1748951292371417,0.0860366,827,21.4126,169,178,186,212
1,0603_hek_10uM_1h_1940_1,1748951292374945,0.0538555,832.5,21.4709,169,177,185,209
1,0603_hek_10uM_1h_1940_1,1748951292375896,0.0650976,377,16.5378,168,174,181,206
1,0603_hek_10uM_1h_1940_1,1748951292380603,0.0266806,535,19.7737,169,178,186,205
1,0603_hek_10uM_1h_1940_1,1748951292383402,0.0253502,475.5,18.0278,168,174,181,199
1,0603_hek_10uM_1h_1940_1,1748951292389894,0.0432893,568.5,18.8944,167,174,183,204
1,0603_hek_10uM_1h_1940_1,1748951292390233,0.0617361,848.5,21.3542,169,176,185,210
1,0603_hek_10uM_1h_1940_1,1748951292397204,0.0716083,810.5,20.3101,168,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951292401410,0.0519149,804,21.1778,169,178,186,212
1,0603_hek_10uM_1h_1940_1,1748951292409458,0.0291787,1078.5,19.1311,169,175,180,199
1,0603_hek_10uM_1h_1940_1,1748951292409671,0.0689644,872,23.3131,167,174,185,206
1,0603_hek_10uM_1h_1940_1,1748951292413615,0.0714264,983,23.9165,169,176,186,211
